LundTax2023
TCGA-G2-A2EC-01A	UroA
TCGA-G2-A2EF-01A	BaSq
TCGA-G2-A2EJ-01A	BaSq
TCGA-G2-A2EK-01A	UroA
TCGA-G2-A2EL-01A	ScNE
TCGA-G2-A2EO-01A	UroB
TCGA-G2-A2ES-01A	BaSq
TCGA-G2-A3IB-01A	BaSq
TCGA-G2-A3IE-01A	UroA
TCGA-G2-A3VY-01A	UroA
TCGA-G2-AA3B-01A	UroA
TCGA-G2-AA3C-01A	Mes
TCGA-G2-AA3D-01A	UroA
TCGA-G2-AA3F-01A	UroA
TCGA-GC-A3BM-01A	UroB
TCGA-GC-A3I6-01A	BaSq
TCGA-GC-A3OO-01A	GU
TCGA-GC-A3RB-01A	UroA
TCGA-GC-A3RC-01A	BaSq
TCGA-GC-A3RD-01A	UroA
TCGA-GC-A3WC-01A	BaSq
TCGA-GC-A3YS-01A	BaSq
TCGA-GC-A4ZW-01A	GU
TCGA-GC-A6I1-01A	BaSq
TCGA-GC-A6I3-01A	UroC
TCGA-GD-A2C5-01A	UroA
TCGA-GD-A3OP-01A	UroA
TCGA-GD-A3OQ-01A	BaSq
TCGA-GD-A3OS-01A	ScNE
TCGA-GD-A6C6-01A	UroB
TCGA-GD-A76B-01A	UroC
TCGA-GU-A42P-01A	GU
TCGA-GU-A42Q-01A	BaSq
TCGA-GU-A42R-01A	UroA
TCGA-GU-A762-01A	BaSq
TCGA-GU-A763-01A	UroA
TCGA-GU-A764-01A	BaSq
TCGA-GU-A766-01A	BaSq
TCGA-GU-A767-01A	UroA
TCGA-GU-AATO-01A	GU
TCGA-GU-AATP-01A	GU
TCGA-GU-AATQ-01A	BaSq
TCGA-GV-A3JV-01A	UroA
TCGA-GV-A3JW-01A	UroA
TCGA-GV-A3JX-01A	GU
TCGA-GV-A3JZ-01A	GU
TCGA-GV-A3QF-01A	UroA
TCGA-GV-A3QG-01A	GU
TCGA-GV-A3QH-01A	GU
TCGA-GV-A3QI-01A	GU
TCGA-GV-A3QK-01B	UroA
TCGA-GV-A40E-01A	BaSq
TCGA-GV-A40G-01A	GU
TCGA-GV-A6ZA-01A	UroA
TCGA-H4-A2HO-01A	UroA
TCGA-H4-A2HQ-01A	UroB
TCGA-HQ-A2OE-01A	UroA
TCGA-HQ-A2OF-01A	GU
TCGA-HQ-A5ND-01A	BaSq
TCGA-HQ-A5NE-01A	BaSq
TCGA-K4-A3WS-01A	UroB
TCGA-K4-A3WU-01B	UroC
TCGA-K4-A3WV-01A	BaSq
TCGA-K4-A4AB-01B	UroB
TCGA-K4-A4AC-01A	BaSq
TCGA-K4-A54R-01A	UroB
TCGA-K4-A5RH-01A	Mes
TCGA-K4-A5RI-01A	BaSq
TCGA-K4-A5RJ-01A	Mes
TCGA-K4-A6FZ-01A	BaSq
TCGA-K4-A6MB-01A	UroA
TCGA-K4-A83P-01A	UroC
TCGA-K4-AAQO-01A	UroC
TCGA-KQ-A41N-01A	UroA
TCGA-KQ-A41O-01A	UroA
TCGA-KQ-A41P-01A	UroB
TCGA-KQ-A41Q-01A	UroA
TCGA-KQ-A41R-01A	UroA
TCGA-KQ-A41S-01A	GU
TCGA-LC-A66R-01A	BaSq
TCGA-LT-A5Z6-01A	GU
TCGA-LT-A8JT-01A	UroA
TCGA-MV-A51V-01A	GU
TCGA-PQ-A6FI-01A	BaSq
TCGA-PQ-A6FN-01A	BaSq
TCGA-R3-A69X-01A	UroB
TCGA-S5-A6DX-01A	UroC
TCGA-S5-AA26-01A	UroA
TCGA-SY-A9G0-01A	UroC
TCGA-SY-A9G5-01A	BaSq
TCGA-UY-A78K-01A	GU
TCGA-UY-A78L-01A	BaSq
TCGA-UY-A78M-01A	UroA
TCGA-UY-A78N-01A	GU
TCGA-UY-A78O-01A	UroA
TCGA-UY-A78P-01A	BaSq
TCGA-UY-A8OB-01A	BaSq
TCGA-UY-A8OC-01A	BaSq
TCGA-UY-A8OD-01A	GU
